day,stock,open,high,low,close,volume
807.0,1000.0,82.632,83.7276,82.632,83.3184,58496.0
807.0,1001.0,194.7,201.96,194.7,201.96,26400.0
807.0,1002.0,44.352,44.352,44.22,44.22,0.0
807.0,1003.0,46.992,46.992,46.992,46.992,0.0
807.0,1004.0,480.612,484.704,480.612,484.44,19280.0
807.0,1005.0,302.412,302.412,302.412,302.412,0.0
807.0,1006.0,45.87,45.87,45.87,45.87,0.0
807.0,1007.0,340.56,344.52,340.56,343.2,1600.0
807.0,1008.0,55.572,58.08,55.44,55.44,3360.0
807.0,1009.0,111.21,111.21,111.21,111.21,0.0
807.0,1010.0,45.672,46.728,45.672,46.728,0.0
807.0,1011.0,636.24,642.84,636.24,639.54,1840.0
807.0,1012.0,462.0,462.0,462.0,462.0,0.0
807.0,1013.0,70.62,70.62,70.62,70.62,0.0
807.0,1014.0,13.464,14.52,13.464,14.388,17056.0
807.0,1015.0,86.328,86.328,85.404,86.064,20000.0
807.0,1016.0,252.252,254.958,252.252,254.958,1008.0
807.0,1017.0,372.24,372.24,372.24,372.24,0.0
807.0,1018.0,1397.22,1403.82,1392.6,1401.18,28304.0
807.0,1019.0,58.872,58.872,56.76,56.76,18880.0
807.0,1020.0,170.94,170.94,170.94,170.94,0.0
807.0,1021.0,176.022,176.022,176.022,176.022,0.0
807.0,1022.0,770.88,785.796,770.88,778.14,44496.0
807.0,1023.0,50.556,52.0608,50.556,51.744,64000.0
807.0,1024.0,51.15,51.15,51.15,51.15,0.0
807.0,1025.0,1316.964,1333.53,1316.964,1323.3,66672.0
807.0,1026.0,645.48,645.48,645.48,645.48,0.0
807.0,1027.0,90.948,90.948,89.958,89.958,6224.0
807.0,1028.0,14.784,14.784,14.784,14.784,8000.0
807.0,1029.0,104.676,108.9,104.676,108.9,4960.0
807.0,1030.0,99.66,99.66,99.66,99.66,0.0
807.0,1031.0,349.8,349.8,349.8,349.8,1280.0
807.0,1032.0,438.9,445.434,438.24,444.774,224272.0
807.0,1033.0,449.262,454.014,446.028,448.47,21200.0
807.0,1034.0,143.484,143.484,143.484,143.484,0.0
807.0,1035.0,422.73,426.36,414.48,414.48,23968.0
807.0,1036.0,451.11,462.0,451.11,455.73,3520.0
807.0,1037.0,575.124,578.16,570.9,572.352,6288.0
