天数,股票代码,开盘价,最高价,最低价,收盘价,成交量
0,1000,5.6523,5.6523,5.4676,5.4676,4444
0,1001,6.43,6.43,6.43,6.43,0
0,1002,20.098,20.5784,19.8529,19.8529,8933
0,1003,6.24,6.24,6,6,400
0,1004,0.101,0.101,0.079,0.079,40711
0,1005,39.6,39.6,39.6,39.6,0
0,1006,17.91,17.91,17.91,17.91,0
0,1007,37.1309,38.6247,36.2774,38.6247,437
0,1008,26.25,26.25,26.25,26.25,15811
0,1009,4.75,4.9,4.61,4.9,1100
0,1010,16.8344,16.8344,15.8724,16.6847,16688
0,1011,5.95,5.98,5.95,5.98,2500
0,1012,38.2,38.45,38.15,38.2,210
0,1013,25.3321,25.3321,25.3321,25.3321,82
0,1014,3.3,3.3,3.3,3.3,1000
0,1015,17.13,17.13,16.75,16.75,50
0,1016,11.55,11.6,11.4,11.55,3420
0,1017,2.6339,2.6339,2.5071,2.5071,1199
0,1018,12.25,12.53,12.19,12.3,30366
0,1019,47.5,47.5,47.4,47.4,300
0,1020,3.8179,3.8179,3.8179,3.8179,0
0,1021,46.2,46.2,46.2,46.2,150
0,1022,7.785,7.785,7.55,7.55,640
0,1023,11.73,11.73,11.7,11.7,2457
0,1024,1.3306,1.3306,1.3306,1.3306,0
0,1025,31.79,31.79,30.48,30.63,3800
0,1026,5.803,5.803,5.803,5.803,0
0,1027,51,51.61,49.72,49.93,17160
0,1028,3.48,3.48,3.07,3.14,55510
0,1029,8.3,8.62,8.3,8.62,6084
0,1030,12.16,12.16,12.16,12.16,0
0,1031,12.05,12.05,11.52,11.67,10064
0,1032,21.7,22.14,21.32,21.38,19492
0,1033,10.29,10.29,9.7,10.29,127426
0,1034,3.85,3.85,3.85,3.85,70
0,1035,0.7455,0.7455,0.6818,0.7009,660
0,1036,147.95,148.9,145.1,145.43,16409
0,1037,10.65,10.65,10.65,10.65,0
0,1038,8.2,8.2,8.2,8.2,270
0,1039,10.24,10.71,10.24,10.71,420
0,1040,1.65,1.67,1.6,1.67,4556
0,1041,28.6404,28.9961,28.6404,28.9961,652
0,1042,10.45,10.55,10,10,770
0,1043,48.5,49.09,48.2,48.52,1891
0,1044,3.724,3.724,3.5313,3.5313,738
0,1045,11.9,12,11.9,12,630
0,1046,13.3198,13.3198,13.1172,13.1172,94
0,1047,50.2,51.205,50.155,50.325,47908
0,1048,61.0147,61.7528,60.1487,60.3553,30209
0,1049,7.57,7.57,7.57,7.57,0
0,1050,925,925,904,904,1
0,1051,10.238,10.308,10.138,10.138,14125
0,1052,13.525,14.16,13.525,13.925,1268
0,1053,6.86,7.05,6.78,6.9,10453
0,1054,30,30,27.8,27.85,2182
0,1055,53,53.1,52.31,52.56,1681
0,1056,5.54,5.54,5.54,5.54,357
0,1057,114.55,117.99,113.51,116.85,4601
0,1058,21.18,21.32,20.52,20.52,12471
0,1059,12.6441,12.6441,12.4951,12.4951,604
0,1060,11.3371,11.6164,11.3371,11.5366,1113
0,1061,13.03,13.03,13.03,13.03,30
0,1062,26.6,26.6,26.6,26.6,225
0,1063,42.78,43.56,42.45,42.8,17165
0,1064,36.3,36.83,35.96,35.97,4267
0,1065,9.8168,15.7069,9.8168,9.8168,41
0,1066,38.5,39.2,38,38,2020
0,1067,8.2,8.38,8.2,8.21,25746
0,1068,8.26,8.4,8.25,8.29,15729
0,1069,3.6333,3.6333,3.5767,3.5767,3741
0,1070,6.74,6.74,6.74,6.74,0
0,1071,20.4284,20.4284,20.1788,20.1788,52
0,1072,6.6,6.69,6.48,6.69,467
0,1073,3.66,3.72,3.64,3.64,10551
0,1074,9.53,9.53,9.53,9.53,0
0,1075,1.5745,1.5942,1.4663,1.486,51327
0,1076,35,39.5,35,36.45,2240
0,1077,34.28,35.59,33.99,34.41,4405
0,1078,29.27,29.27,29.27,29.27,0
0,1079,8.9012,9.0116,8.9012,9.0116,0
0,1080,2.5212,2.5212,2.5212,2.5212,0
0,1081,109.4726,110.43,106.9335,107.3914,13341
0,1082,3.9,3.93,3.78,3.92,30330
0,1083,7.4,7.56,7.4,7.56,57
0,1084,18.1923,18.3735,17.5438,17.6042,5848
0,1085,13.8119,13.8119,13.8119,13.8119,0
0,1086,3.25,3.25,3.25,3.25,0
0,1087,4.86,4.9,4.86,4.9,3000
0,1088,14.11,14.615,13.53,14.005,8137
