day,stock,open,high,low,close,volume
140.0,1000.0,23.80422,25.01004,23.80422,24.56058,830368.0
140.0,1001.0,273.108,273.2004,268.29,268.4154,17360.0
140.0,1002.0,60.0666,61.0566,60.0666,60.5451,15408.0
140.0,1003.0,25.179,25.179,25.179,25.179,0.0
140.0,1004.0,376.497,385.7568,376.497,385.3938,129648.0
140.0,1005.0,163.7394,163.7394,163.7394,163.7394,0.0
140.0,1006.0,68.508,68.8446,67.9074,67.9074,1600.0
140.0,1007.0,92.8158,94.3998,92.8158,94.3932,0.0
140.0,1008.0,13.98804,14.16294,13.7247,13.7247,31312.0
140.0,1009.0,16.8168,16.8168,16.8168,16.8168,0.0
140.0,1010.0,17.952,17.952,17.82,17.82,4800.0
140.0,1011.0,320.1,329.7228,318.912,329.7228,40624.0
140.0,1012.0,427.68,427.68,415.734,419.1,24304.0
140.0,1013.0,263.01,270.4614,263.01,270.1182,0.0
140.0,1014.0,36.3066,37.5474,36.3,36.3,39680.0
140.0,1015.0,10.62864,10.62864,10.4115,10.4115,27040.0
140.0,1016.0,173.019,176.187,173.019,176.187,9504.0
140.0,1017.0,54.516,54.516,52.8924,53.8494,41536.0
140.0,1018.0,565.29,575.4276,565.29,572.055,40048.0
140.0,1019.0,25.74,26.466,25.74,26.136,343520.0
140.0,1020.0,81.576,81.576,81.576,81.576,0.0
140.0,1021.0,151.47,151.47,149.7804,149.9652,12000.0
140.0,1022.0,282.9816,289.0206,282.282,288.915,271536.0
140.0,1023.0,83.028,90.717,83.028,89.4366,697984.0
140.0,1024.0,29.37,29.37,28.6506,28.6506,16640.0
140.0,1025.0,781.44,801.9,781.44,795.96,351216.0
140.0,1026.0,179.52,179.52,175.7646,179.52,4000.0
140.0,1027.0,67.221,67.221,65.34,67.221,115504.0
140.0,1028.0,5.874,5.8806,5.874,5.874,59264.0
140.0,1029.0,136.8312,142.3356,136.8312,142.3356,4800.0
140.0,1030.0,26.8224,26.8224,26.8224,26.8224,0.0
140.0,1031.0,168.63,169.62,168.63,169.62,11360.0
140.0,1032.0,490.644,500.9598,490.512,494.34,465392.0
140.0,1033.0,553.25358,565.26954,553.25358,561.5346,294096.0
140.0,1034.0,117.2226,119.2026,117.2226,119.2026,9600.0
140.0,1035.0,126.2316,127.9806,126.2316,127.512,212960.0
140.0,1036.0,570.9,581.526,570.9,578.4108,6208.0
140.0,1037.0,468.0126,475.9854,467.0754,474.9954,36816.0
140.0,1038.0,26.4,27.6012,26.4,27.6012,36800.0
140.0,1039.0,500.61,505.692,497.6334,497.64,29168.0
140.0,1040.0,147.444,150.744,147.444,150.744,188704.0
140.0,1041.0,126.70548,127.79778,126.70548,127.79778,2416.0
140.0,1042.0,121.5852,122.08284,121.05192,121.05192,5776.0
140.0,1043.0,48.6684,49.2624,48.6684,49.2624,16.0
140.0,1044.0,285.9912,294.1884,285.9912,294.162,51504.0
140.0,1045.0,475.4046,483.054,475.4046,478.104,101168.0
140.0,1046.0,346.5,354.4926,346.5,352.1958,14240.0
140.0,1047.0,569.6394,573.8106,569.6394,573.8106,15568.0
140.0,1048.0,36.432,37.29,36.432,37.29,234080.0
140.0,1049.0,36.795,37.4814,36.795,37.2042,835776.0
140.0,1050.0,31.9968,31.9968,31.9968,31.9968,0.0
140.0,1051.0,23.9382,23.9646,23.892,23.9646,30880.0
140.0,1052.0,100.6302,100.6302,100.6302,100.6302,0.0
140.0,1053.0,20.14716,20.53062,20.14716,20.27058,196208.0
140.0,1054.0,266.6466,266.6466,266.6466,266.6466,0.0
140.0,1055.0,256.9116,259.974,256.9116,259.8618,90064.0
140.0,1056.0,137.511,139.26,137.511,139.26,640.0
140.0,1057.0,8.2764,8.2764,8.2764,8.2764,0.0
140.0,1058.0,24.97506,24.97506,24.77904,24.77904,20992.0
140.0,1059.0,53.7372,54.7008,52.47,52.767,8753264.0
140.0,1060.0,38.3658,38.9664,38.3658,38.9664,26112.0
140.0,1061.0,50.37318,50.8497,50.37318,50.457,28896.0
140.0,1062.0,9.3654,9.3654,9.3654,9.3654,0.0
140.0,1063.0,29.9046,30.6504,29.9046,30.6504,3200.0
140.0,1064.0,96.8814,97.218,96.8814,97.218,15600.0
140.0,1065.0,32.34858,32.34858,31.89978,31.89978,0.0
140.0,1066.0,5.44104,5.44104,5.43576,5.43576,4512.0
140.0,1067.0,674.058,674.058,658.812,658.812,48816.0
140.0,1068.0,118.3116,120.3114,115.9686,120.3114,8800.0
140.0,1069.0,22.0473,22.66836,22.0473,22.66836,2544.0
140.0,1070.0,61.1226,64.2378,61.1226,62.7132,48752.0
140.0,1071.0,230.9604,230.9604,230.0628,230.34,36112.0
140.0,1072.0,41.283,42.636,41.283,42.57,88480.0
140.0,1073.0,319.1958,326.1324,319.1958,321.321,841408.0
140.0,1074.0,100.452,102.3,97.2312,98.175,55296.0
