day,stock,open,high,low,close,volume
938.0,1000.0,80.6916,80.6916,80.6916,80.6916,0.0
938.0,1001.0,246.18,256.74,244.86,254.76,15680.0
938.0,1002.0,42.042,42.042,41.25,42.042,17616.0
938.0,1003.0,47.0844,48.9456,47.0844,48.9456,1600.0
938.0,1004.0,467.478,470.514,467.478,470.382,7136.0
938.0,1005.0,309.936,309.936,309.936,309.936,0.0
938.0,1006.0,23.826,23.826,23.826,23.826,0.0
938.0,1007.0,267.96,267.96,267.96,267.96,0.0
938.0,1008.0,49.83,49.83,49.83,49.83,0.0
938.0,1009.0,132.0,132.66,132.0,132.66,11488.0
938.0,1010.0,36.828,39.6,36.828,39.6,12240.0
938.0,1011.0,658.02,658.02,658.02,658.02,0.0
938.0,1012.0,471.9,471.9,471.9,471.9,0.0
938.0,1013.0,80.52,80.52,80.52,80.52,0.0
938.0,1014.0,13.464,13.728,13.464,13.728,3200.0
938.0,1015.0,76.956,76.956,76.956,76.956,0.0
938.0,1016.0,242.847,242.847,242.847,242.847,0.0
938.0,1017.0,324.72,324.72,324.72,324.72,0.0
938.0,1018.0,1807.41,1821.6,1807.41,1818.96,8208.0
938.0,1019.0,42.174,42.174,41.844,41.844,0.0
938.0,1020.0,139.92,141.24,139.92,141.24,2320.0
938.0,1021.0,171.798,175.56,171.798,175.56,560.0
938.0,1022.0,813.648,813.648,790.68,790.68,94688.0
938.0,1023.0,66.231,66.528,64.4952,64.4952,98720.0
938.0,1024.0,58.74,58.74,58.74,58.74,0.0
938.0,1025.0,1394.58,1404.81,1394.58,1399.53,35008.0
938.0,1026.0,821.7,821.7,821.7,821.7,0.0
938.0,1027.0,100.518,100.518,100.518,100.518,0.0
938.0,1028.0,16.962,16.962,16.962,16.962,0.0
938.0,1029.0,102.432,102.432,98.736,98.868,23520.0
938.0,1030.0,122.76,122.76,122.76,122.76,0.0
938.0,1031.0,359.7,359.7,359.7,359.7,2480.0
938.0,1032.0,420.42,422.004,417.714,420.354,29840.0
938.0,1033.0,443.52,446.094,442.728,442.728,39952.0
938.0,1034.0,159.72,167.112,159.72,167.112,1120.0
938.0,1035.0,384.78,386.76,383.79,385.77,23856.0
938.0,1036.0,289.74,289.74,289.74,289.74,0.0
938.0,1037.0,709.83,714.78,709.17,710.82,6176.0
938.0,1038.0,118.14,118.14,118.14,118.14,0.0
938.0,1039.0,260.7,262.68,260.7,262.68,1280.0
938.0,1040.0,132.99,132.99,132.0,132.0,5520.0
938.0,1041.0,144.54,144.54,144.54,144.54,0.0
938.0,1042.0,144.54,144.54,144.54,144.54,0.0
938.0,1043.0,41.6592,41.6592,41.6592,41.6592,0.0
938.0,1044.0,220.374,220.374,217.008,218.823,19200.0
938.0,1045.0,426.624,431.442,426.624,429.792,71056.0
938.0,1046.0,345.51,347.16,345.18,347.16,4656.0
938.0,1047.0,337.524,338.976,337.392,338.976,4240.0
938.0,1048.0,38.28,38.28,38.28,38.28,0.0
938.0,1049.0,38.841,39.204,38.7684,38.9202,624608.0
938.0,1050.0,43.7976,43.7976,43.7316,43.7316,3200.0
938.0,1051.0,13.464,13.464,13.3584,13.3584,0.0
938.0,1052.0,157.014,157.014,157.014,157.014,0.0
938.0,1053.0,64.383,65.109,64.383,65.109,23808.0
938.0,1054.0,198.0,198.0,198.0,198.0,0.0
938.0,1055.0,170.61,170.61,170.61,170.61,0.0
938.0,1056.0,200.376,200.376,200.376,200.376,2880.0
938.0,1057.0,19.338,19.338,19.338,19.338,0.0
938.0,1058.0,54.912,55.044,54.252,54.252,61984.0
938.0,1059.0,37.5804,38.7684,37.5804,37.95,228928.0
938.0,1060.0,40.986,41.514,40.986,41.316,81424.0
938.0,1061.0,33.33,33.33,33.33,33.33,0.0
938.0,1062.0,13.86,15.18,13.86,15.18,1600.0
938.0,1063.0,5.5044,5.62056,5.5044,5.62056,16000.0
938.0,1064.0,83.952,89.496,83.952,89.496,19504.0
938.0,1065.0,14.454,14.454,14.454,14.454,0.0
938.0,1066.0,19.404,19.404,18.282,18.282,130576.0
938.0,1067.0,803.748,803.748,780.912,780.912,23232.0
938.0,1068.0,365.97,365.97,353.1,364.32,22240.0
938.0,1069.0,9.966,9.966,9.966,9.966,0.0
938.0,1070.0,90.09,91.74,89.43,90.42,36640.0
938.0,1071.0,543.18,546.48,543.18,546.48,640.0
938.0,1072.0,297.66,297.66,297.66,297.66,0.0
938.0,1073.0,312.873,315.645,312.18,312.18,52080.0
938.0,1074.0,328.68,328.68,328.68,328.68,0.0
938.0,1075.0,916.41,924.0,910.47,910.47,2800.0
938.0,1076.0,213.18,213.18,213.18,213.18,0.0
938.0,1077.0,79.728,79.728,74.976,75.108,6400.0
938.0,1078.0,48.411,48.9786,48.1536,48.4044,356784.0
938.0,1079.0,166.056,166.848,166.056,166.848,1600.0
938.0,1080.0,37.059,37.059,33.0,35.904,210192.0
938.0,1081.0,109.56,109.56,109.56,109.56,0.0
938.0,1082.0,76.164,77.088,76.164,76.296,20160.0
938.0,1083.0,110.88,113.52,110.88,113.52,1600.0
938.0,1084.0,104.94,104.94,104.94,104.94,0.0
938.0,1085.0,287.892,289.08,284.13,284.13,9264.0
938.0,1086.0,31.812,31.812,31.812,31.812,0.0
938.0,1087.0,32.538,32.736,32.538,32.736,22400.0
938.0,1088.0,198.924,199.716,198.264,199.518,103344.0
938.0,1089.0,194.04,194.04,187.176,187.176,16672.0
938.0,1090.0,304.392,304.392,304.392,304.392,0.0
938.0,1091.0,14.52,14.52,14.52,14.52,0.0
938.0,1092.0,100.254,101.64,100.254,100.8084,439728.0
938.0,1093.0,210.87,213.18,210.87,211.134,6496.0
938.0,1094.0,43.56,43.56,43.56,43.56,0.0
938.0,1095.0,228.36,228.36,228.36,228.36,0.0
938.0,1096.0,39.93,41.58,39.93,41.58,1600.0
938.0,1097.0,191.4,191.4,191.4,191.4,0.0
938.0,1098.0,10.692,10.758,10.56,10.758,89056.0
938.0,1099.0,7.59,7.59,7.59,7.59,0.0
938.0,1100.0,377.52,378.84,377.52,378.84,1600.0
938.0,1101.0,119.46,119.46,119.46,119.46,0.0
